2019-10-07 16:02:21	?	http://dev.chelseyandjordanphotography.com/2018/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-07 16:02:25	?	http://dev.chelseyandjordanphotography.com/2019/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-07 16:02:29	?	http://dev.chelseyandjordanphotography.com/shop/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-07 16:02:34	?	http://dev.chelseyandjordanphotography.com/wp1/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-07 16:03:08	?	http://dev.chelseyandjordanphotography.com/site/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-07 16:03:14	?	http://dev.chelseyandjordanphotography.com/cms/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-07 16:03:21	?	http://dev.chelseyandjordanphotography.com/sito/wp-includes/wlwmanifest.xml	Error: 	Exception: SQLSTATE[HY000] [1040] Too many connections (in /home2/chelsfw7/public_html/dev/wire/core/ProcessWire.php line 382)
2019-10-08 21:54:28	jordan	http://dev.chelseyandjordanphotography.com/featured-images/	Parse Error: 	syntax error, unexpected ''." alt="Cincinnati Wedding Ph' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' (line 158 of /home2/chelsfw7/public_html/dev/site/templates/inc/pagebuilder.inc)
2019-10-15 10:06:57	jordan	http://dev.chelseyandjordanphotography.com/blog/	Parse Error: 	syntax error, unexpected 'files' (T_STRING), expecting ',' or ';' (line 19 of /home2/chelsfw7/public_html/dev/site/assets/cache/FileCompiler/site/templates/blog-lister.php)
2019-10-24 13:31:05	jordan	https://chelseyandjordanphotography.com/	Error: 	Exception: File could not be downloaded (https://www.chelseyandjordanphotography.com/site/assets/files1/home-og.jpg) 404 Not Found:  (tried: curl) (in /home2/chelsfw7/public_html/wire/core/WireHttp.php line 749)  #0 /home2/chelsfw7/public_html/wire/core/Pagefile.php(167): ProcessWire\WireHttp->download('https://www.che...', '/home2/chelsfw7...') #1 /home2/chelsfw7/public_html/wire/core/Pageimage.php(1629): ProcessWire\Pagefile->___install('https://www.che...') #2 /home2/chelsfw7/public_html/wire/core/Wire.php(383): ProcessWire\Pageimage->___install('https://www.che...') #3 /home2/chelsfw7/public_html/wire/core/WireHooks.php(723): ProcessWire\Wire->_callMethod('___install', Array) #4 /home2/chelsfw7/public_html/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pageimage), 'install', Array) #5 /home2/chelsfw7/public_html/wire/core/Pagefile.php(115): ProcessWire\Wire->__call('install', Array) #6 /home2/chelsfw7/public_html/wire/core/Pagefile.php(88): ProcessWire\Pagefile->setFilename('h
2019-10-24 13:34:21	jordan	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)  #0 /home2/chelsfw7/public_html/wire/core/Wire.php(383): ProcessWire\Pageimage->___install('https://www.che...') #1 /home2/chelsfw7/public_html/wire/core/WireHooks.php(723): ProcessWire\Wire->_callMethod('___install', Array) #2 /home2/chelsfw7/public_html/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pageimage), 'install', Array) #3 /home2/chelsfw7/public_html/wire/core/Pagefile.php(115): ProcessWire\Wire->__call('install', Array) #4 /home2/chelsfw7/public_html/wire/core/Pagefile.php(88): ProcessWire\Pagefile->setFilename('https://www.che...') #5 /home2/chelsfw7/public_html/wire/core/Pageimage.php(118): ProcessWire\Pagefile->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #6 /home2/chelsfw7/public_html/wire/core/Pageimages.php(53): ProcessWire\Pageimage->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #7 /home2/chelsfw7/public_html/wire
2019-10-24 13:34:25	guest	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)
2019-10-24 13:34:26	jordan	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)  #0 /home2/chelsfw7/public_html/wire/core/Wire.php(383): ProcessWire\Pageimage->___install('https://www.che...') #1 /home2/chelsfw7/public_html/wire/core/WireHooks.php(723): ProcessWire\Wire->_callMethod('___install', Array) #2 /home2/chelsfw7/public_html/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pageimage), 'install', Array) #3 /home2/chelsfw7/public_html/wire/core/Pagefile.php(115): ProcessWire\Wire->__call('install', Array) #4 /home2/chelsfw7/public_html/wire/core/Pagefile.php(88): ProcessWire\Pagefile->setFilename('https://www.che...') #5 /home2/chelsfw7/public_html/wire/core/Pageimage.php(118): ProcessWire\Pagefile->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #6 /home2/chelsfw7/public_html/wire/core/Pageimages.php(53): ProcessWire\Pageimage->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #7 /home2/chelsfw7/public_html/wire
2019-10-24 13:36:19	jordan	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)  #0 /home2/chelsfw7/public_html/wire/core/Wire.php(383): ProcessWire\Pageimage->___install('https://www.che...') #1 /home2/chelsfw7/public_html/wire/core/WireHooks.php(723): ProcessWire\Wire->_callMethod('___install', Array) #2 /home2/chelsfw7/public_html/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pageimage), 'install', Array) #3 /home2/chelsfw7/public_html/wire/core/Pagefile.php(115): ProcessWire\Wire->__call('install', Array) #4 /home2/chelsfw7/public_html/wire/core/Pagefile.php(88): ProcessWire\Pagefile->setFilename('https://www.che...') #5 /home2/chelsfw7/public_html/wire/core/Pageimage.php(118): ProcessWire\Pagefile->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #6 /home2/chelsfw7/public_html/wire/core/Pageimages.php(53): ProcessWire\Pageimage->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #7 /home2/chelsfw7/public_html/wire
2019-10-24 13:36:21	jordan	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)  #0 /home2/chelsfw7/public_html/wire/core/Wire.php(383): ProcessWire\Pageimage->___install('https://www.che...') #1 /home2/chelsfw7/public_html/wire/core/WireHooks.php(723): ProcessWire\Wire->_callMethod('___install', Array) #2 /home2/chelsfw7/public_html/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pageimage), 'install', Array) #3 /home2/chelsfw7/public_html/wire/core/Pagefile.php(115): ProcessWire\Wire->__call('install', Array) #4 /home2/chelsfw7/public_html/wire/core/Pagefile.php(88): ProcessWire\Pagefile->setFilename('https://www.che...') #5 /home2/chelsfw7/public_html/wire/core/Pageimage.php(118): ProcessWire\Pagefile->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #6 /home2/chelsfw7/public_html/wire/core/Pageimages.php(53): ProcessWire\Pageimage->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #7 /home2/chelsfw7/public_html/wire
2019-10-24 13:36:24	guest	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)
2019-10-24 13:36:46	jordan	https://chelseyandjordanphotography.com/http404/	Error: 	Exception: Unable to install invalid image (in /home2/chelsfw7/public_html/wire/core/Pageimage.php line 1632)  #0 /home2/chelsfw7/public_html/wire/core/Wire.php(383): ProcessWire\Pageimage->___install('https://www.che...') #1 /home2/chelsfw7/public_html/wire/core/WireHooks.php(723): ProcessWire\Wire->_callMethod('___install', Array) #2 /home2/chelsfw7/public_html/wire/core/Wire.php(442): ProcessWire\WireHooks->runHooks(Object(ProcessWire\Pageimage), 'install', Array) #3 /home2/chelsfw7/public_html/wire/core/Pagefile.php(115): ProcessWire\Wire->__call('install', Array) #4 /home2/chelsfw7/public_html/wire/core/Pagefile.php(88): ProcessWire\Pagefile->setFilename('https://www.che...') #5 /home2/chelsfw7/public_html/wire/core/Pageimage.php(118): ProcessWire\Pagefile->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #6 /home2/chelsfw7/public_html/wire/core/Pageimages.php(53): ProcessWire\Pageimage->__construct(Object(ProcessWire\Pageimages), 'https://www.che...') #7 /home2/chelsfw7/public_html/wire
